2024-11-28 15:18:57 | INFO     | __main__:main:332 - Starting OpenModelDB video processing
2024-11-28 15:18:57 | INFO     | __main__:main:336 - Initializing processor with model: 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:18:57 | INFO     | __main__:__init__:113 - Loading model: Phips/4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:01 | INFO     | __main__:__init__:118 - Successfully loaded model Phips/4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:01 | INFO     | __main__:main:345 - Found 3 videos to process
2024-11-28 15:19:01 | INFO     | __main__:main:351 - Processing low_rel.mp4 with 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:01 | INFO     | __main__:process_video:189 - Starting processing of video: /root/pixelupbench/data/realism/low_rel.mp4
2024-11-28 15:19:01 | ERROR    | __main__:process_frame:153 - Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 640, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:01 | ERROR    | __main__:process_video:264 - Error processing low_rel.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 640, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:01 | ERROR    | __main__:main:355 - Failed to process low_rel.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 640, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:01 | INFO     | __main__:main:351 - Processing low_res.mp4 with 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:01 | INFO     | __main__:process_video:189 - Starting processing of video: /root/pixelupbench/data/realism/low_res.mp4
2024-11-28 15:19:01 | ERROR    | __main__:process_frame:153 - Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[640, 1, 360, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:01 | ERROR    | __main__:process_video:264 - Error processing low_res.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[640, 1, 360, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:01 | ERROR    | __main__:main:355 - Failed to process low_res.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[640, 1, 360, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:01 | INFO     | __main__:main:351 - Processing restore.mp4 with 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:01 | INFO     | __main__:process_video:189 - Starting processing of video: /root/pixelupbench/data/realism/restore.mp4
2024-11-28 15:19:01 | ERROR    | __main__:process_frame:153 - Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 480, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:01 | ERROR    | __main__:process_video:264 - Error processing restore.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 480, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:01 | ERROR    | __main__:main:355 - Failed to process restore.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 480, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:01 | INFO     | __main__:main:384 - OpenModelDB processing completed
2024-11-28 15:19:25 | INFO     | __main__:main:332 - Starting OpenModelDB video processing
2024-11-28 15:19:25 | INFO     | __main__:main:336 - Initializing processor with model: 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:25 | INFO     | __main__:__init__:113 - Loading model: Phips/4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:27 | INFO     | __main__:__init__:118 - Successfully loaded model Phips/4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:27 | INFO     | __main__:main:345 - Found 3 videos to process
2024-11-28 15:19:27 | INFO     | __main__:main:351 - Processing low_rel.mp4 with 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:27 | INFO     | __main__:process_video:189 - Starting processing of video: /root/pixelupbench/data/realism/low_rel.mp4
2024-11-28 15:19:27 | ERROR    | __main__:process_frame:153 - Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 640, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:27 | ERROR    | __main__:process_video:264 - Error processing low_rel.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 640, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:27 | ERROR    | __main__:main:355 - Failed to process low_rel.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 640, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:27 | INFO     | __main__:main:351 - Processing low_res.mp4 with 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:27 | INFO     | __main__:process_video:189 - Starting processing of video: /root/pixelupbench/data/realism/low_res.mp4
2024-11-28 15:19:27 | ERROR    | __main__:process_frame:153 - Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[640, 1, 360, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:27 | ERROR    | __main__:process_video:264 - Error processing low_res.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[640, 1, 360, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:27 | ERROR    | __main__:main:355 - Failed to process low_res.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[640, 1, 360, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:27 | INFO     | __main__:main:351 - Processing restore.mp4 with 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:19:27 | INFO     | __main__:process_video:189 - Starting processing of video: /root/pixelupbench/data/realism/restore.mp4
2024-11-28 15:19:27 | ERROR    | __main__:process_frame:153 - Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 480, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:27 | ERROR    | __main__:process_video:264 - Error processing restore.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 480, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:27 | ERROR    | __main__:main:355 - Failed to process restore.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 480, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:19:27 | INFO     | __main__:main:384 - OpenModelDB processing completed
2024-11-28 15:20:37 | INFO     | __main__:main:355 - Starting OpenModelDB video processing
2024-11-28 15:20:37 | INFO     | __main__:main:359 - Initializing processor with model: 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:20:37 | INFO     | __main__:__init__:113 - Loading model: Phips/4xNomosWebPhoto_RealPLKSR
2024-11-28 15:20:39 | INFO     | __main__:__init__:118 - Successfully loaded model Phips/4xNomosWebPhoto_RealPLKSR
2024-11-28 15:20:39 | INFO     | __main__:main:368 - Found 3 videos to process
2024-11-28 15:20:39 | INFO     | __main__:main:374 - Processing low_rel.mp4 with 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:20:39 | INFO     | __main__:process_video:212 - Starting processing of video: /root/pixelupbench/data/realism/low_rel.mp4
2024-11-28 15:20:39 | ERROR    | __main__:process_frame:176 - Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 640, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:20:39 | ERROR    | __main__:process_video:287 - Error processing low_rel.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 640, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:20:39 | ERROR    | __main__:main:378 - Failed to process low_rel.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 640, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:20:39 | INFO     | __main__:main:374 - Processing low_res.mp4 with 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:20:39 | INFO     | __main__:process_video:212 - Starting processing of video: /root/pixelupbench/data/realism/low_res.mp4
2024-11-28 15:20:39 | ERROR    | __main__:process_frame:176 - Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[640, 1, 360, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:20:39 | ERROR    | __main__:process_video:287 - Error processing low_res.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[640, 1, 360, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:20:39 | ERROR    | __main__:main:378 - Failed to process low_res.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[640, 1, 360, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:20:39 | INFO     | __main__:main:374 - Processing restore.mp4 with 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:20:39 | INFO     | __main__:process_video:212 - Starting processing of video: /root/pixelupbench/data/realism/restore.mp4
2024-11-28 15:20:39 | ERROR    | __main__:process_frame:176 - Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 480, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:20:39 | ERROR    | __main__:process_video:287 - Error processing restore.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 480, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:20:39 | ERROR    | __main__:main:378 - Failed to process restore.mp4: Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 480, 3] to have 3 channels, but got 1 channels instead
2024-11-28 15:20:39 | INFO     | __main__:main:407 - OpenModelDB processing completed
2024-11-28 15:21:20 | INFO     | __main__:main:356 - Starting OpenModelDB video processing
2024-11-28 15:21:20 | INFO     | __main__:main:360 - Initializing processor with model: 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:21:20 | INFO     | __main__:__init__:114 - Loading model: Phips/4xNomosWebPhoto_RealPLKSR
2024-11-28 15:21:22 | INFO     | __main__:__init__:119 - Successfully loaded model Phips/4xNomosWebPhoto_RealPLKSR
2024-11-28 15:21:22 | INFO     | __main__:main:369 - Found 3 videos to process
2024-11-28 15:21:22 | INFO     | __main__:main:375 - Processing low_rel.mp4 with 4xNomosWebPhoto_RealPLKSR
2024-11-28 15:21:22 | INFO     | __main__:process_video:213 - Starting processing of video: /root/pixelupbench/data/realism/low_rel.mp4
2024-11-28 15:21:22 | ERROR    | __main__:process_frame:177 - Frame processing failed: Given groups=1, weight of size [64, 3, 3, 3], expected input[360, 1, 640, 3] to have 3 channels, but got 1 channels instead
